级别,日期和时间,来源,事件 ID,任务类别
信息,2017/3/21 18:41:46,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/21 18:41:46,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/21 18:41:45,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/21 18:41:45,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/20 18:39:16,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/20 18:39:16,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/20 18:39:16,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/20 18:39:16,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/19 18:36:57,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/19 18:36:57,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/19 18:36:57,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/19 18:36:57,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/18 18:33:23,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/18 18:33:23,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/18 18:33:23,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/18 18:33:23,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/17 18:30:58,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/17 18:30:58,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/17 18:30:58,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/17 18:30:58,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
错误,2017/3/17 15:27:32,SideBySide,33,无,"“C:\Windows\System32\systemcpl.dll”的激活上下文生成失败。 找不到从属程序集 Microsoft.Windows.Common-Controls,language=""&#x2a;"",processorArchitecture=""&#x2a;"",publicKeyToken=""436865772d574741"",type=""win32"",version=""6.0.0.0""。 请使用 sxstrace.exe 进行详细诊断。"
信息,2017/3/16 18:27:24,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/16 18:27:24,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/16 18:27:24,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/16 18:27:24,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/15 18:23:50,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/15 18:23:50,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/15 18:23:50,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/15 18:23:50,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/14 18:21:20,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/14 18:21:20,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/14 18:21:20,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/14 18:21:20,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/13 18:18:40,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/13 18:18:40,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/12 18:15:07,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/12 18:15:07,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/12 18:15:07,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/12 18:15:07,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/11 18:11:31,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/11 18:11:31,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/11 18:11:31,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/11 18:11:31,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/10 18:11:08,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/10 18:11:08,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/9 18:10:14,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/9 18:10:14,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/8 18:06:41,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/8 18:06:41,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/8 18:06:41,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/8 18:06:41,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/7 18:04:00,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/7 18:04:00,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/7 18:04:00,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/7 18:04:00,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/6 18:02:50,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/6 18:02:50,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/5 17:59:38,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/5 17:59:38,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/5 17:59:36,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/5 17:59:36,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/4 17:57:24,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/4 17:57:24,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/4 17:57:24,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/4 17:57:24,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/3 17:55:08,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/3 17:55:08,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/3 17:55:08,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/3 17:55:08,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
信息,2017/3/2 17:53:03,vmStatsProvider,256,(1),"The ""vmStatsProvider"" is successfully initialized for this Virtual Machine. WMI namespace: ""root\cimv2""."
信息,2017/3/2 17:53:03,vmStatsProvider,258,(2),"The ""vmGuestLibrary"" is successfully initialized for this Virtual Machine."
