级别,日期和时间,来源,事件 ID,任务类别
信息,2015/6/10 14:43:18,Service Control Manager,7036,无,Windows Font Cache Service 服务处于 正在运行 状态。
信息,2015/6/10 14:43:18,Service Control Manager,7036,无,Diagnostic System Host 服务处于 正在运行 状态。
信息,2015/6/10 14:43:20,Service Control Manager,7036,无,Windows Update 服务处于 正在运行 状态。
信息,2015/6/10 14:43:18,Service Control Manager,7036,无,Windows Remote Management (WS-Management) 服务处于 正在运行 状态。
信息,2015/6/10 14:43:17,Service Control Manager,7036,无,Microsoft .NET Framework NGEN v4.0.30319_X64 服务处于 正在运行 状态。
信息,2015/6/10 14:43:18,Microsoft-Windows-WinRM,10148,无,"WinRM 服务正在侦听 WS-Management 请求。

用户操作
使用下列命令查看 WinRM 正在侦听的特定 IP: 

 winrm enumerate winrm/config/listener"
信息,2015/6/10 14:43:18,Service Control Manager,7036,无,Diagnostic Policy Service 服务处于 正在运行 状态。
信息,2015/6/10 14:43:17,Service Control Manager,7036,无,Microsoft .NET Framework NGEN v4.0.30319_X64 服务处于 停止 状态。
信息,2015/6/10 14:51:52,Service Control Manager,7036,无,Windows Modules Installer 服务处于 停止 状态。
信息,2015/6/10 14:51:51,Service Control Manager,7040,无,Windows Modules Installer 服务的启动类型从 自动启动 更改为 按需启动。
信息,2015/6/10 15:23:18,Service Control Manager,7036,无,Diagnostic System Host 服务处于 停止 状态。
信息,2015/6/10 14:57:47,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。
信息,2015/6/10 14:44:21,Service Control Manager,7036,无,Volume Shadow Copy 服务处于 停止 状态。
信息,2015/6/10 14:44:20,Service Control Manager,7036,无,VMware Snapshot Provider 服务处于 停止 状态。
信息,2015/6/10 14:51:50,Service Control Manager,7040,无,Windows Modules Installer 服务的启动类型从 按需启动 更改为 自动启动。
信息,2015/6/10 14:46:50,Service Control Manager,7036,无,SPP Notification Service 服务处于 正在运行 状态。
信息,2015/6/10 14:41:20,Service Control Manager,7036,无,Volume Shadow Copy 服务处于 正在运行 状态。
信息,2015/6/10 14:41:19,Microsoft-Windows-Iphlpsvc,4200,无,地址为 fe80::200:5efe:84.239.49.52 的 Isatap 接口 isatap.{5BD32830-941C-408A-B7FD-C9A0A436ADC5} 已出现。
信息,2015/6/10 14:41:33,Service Control Manager,7036,无,Performance Logs & Alerts 服务处于 正在运行 状态。
信息,2015/6/10 14:41:27,Microsoft-Windows-Winlogon,7001,(1101),客户体验改善计划的用户登录通知
信息,2015/6/10 14:41:17,Service Control Manager,7036,无,VMware Snapshot Provider 服务处于 正在运行 状态。
信息,2015/6/10 14:41:17,Service Control Manager,7036,无,Remote Desktop Configuration 服务处于 正在运行 状态。
信息,2015/6/10 14:41:18,Service Control Manager,7036,无,Distributed Transaction Coordinator 服务处于 正在运行 状态。
信息,2015/6/10 14:41:17,Service Control Manager,7036,无,COM+ System Application 服务处于 正在运行 状态。
信息,2015/6/10 14:43:17,Service Control Manager,7036,无,Portable Device Enumerator Service 服务处于 停止 状态。
信息,2015/6/10 14:42:20,Service Control Manager,7036,无,Attunity Replicate Server 服务处于 正在运行 状态。
信息,2015/6/10 14:43:17,Service Control Manager,7036,无,Microsoft .NET Framework NGEN v4.0.30319_X86 服务处于 停止 状态。
信息,2015/6/10 14:43:17,Service Control Manager,7036,无,Microsoft .NET Framework NGEN v4.0.30319_X86 服务处于 正在运行 状态。
信息,2015/6/10 14:41:48,Service Control Manager,7036,无,Software Protection 服务处于 正在运行 状态。
信息,2015/6/10 14:41:36,Service Control Manager,7036,无,Network Connections 服务处于 正在运行 状态。
信息,2015/6/10 14:42:17,Service Control Manager,7036,无,Attunity Replicate Console 服务处于 正在运行 状态。
信息,2015/6/10 14:41:49,Service Control Manager,7036,无,Windows Modules Installer 服务处于 正在运行 状态。
信息,2015/6/11 12:00:01,EventLog,6013,无,系统启动时间为 76752 秒。
信息,2015/6/24 18:36:57,Microsoft-Windows-FilterManager,1,无,文件系统筛选器“FileInfo”(版本 6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功卸载。
信息,2015/6/24 18:36:41,Microsoft-Windows-FilterManager,6,无,文件系统筛选器“FileInfo”(6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功加载并注册到筛选器管理器。
信息,2015/6/25 12:00:01,EventLog,6013,无,系统启动时间为 1286353 秒。
信息,2015/6/25 2:41:29,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1056,无,生成了将用于对 SSL 连接进行终端服务器身份验证的新的自我签署证书。此证书上的名称为 NOVPLODS01。该证书的 SHA1 哈希在事件数据中。
信息,2015/6/22 12:00:01,EventLog,6013,无,系统启动时间为 1027152 秒。
信息,2015/6/21 12:00:00,EventLog,6013,无,系统启动时间为 940752 秒。
信息,2015/6/24 12:00:00,EventLog,6013,无,系统启动时间为 1199952 秒。
信息,2015/6/23 12:00:01,EventLog,6013,无,系统启动时间为 1113552 秒。
信息,2015/6/30 12:00:01,EventLog,6013,无,系统启动时间为 1718352 秒。
信息,2015/6/30 11:39:30,Microsoft-Windows-FilterManager,6,无,文件系统筛选器“FileInfo”(6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功加载并注册到筛选器管理器。
信息,2015/7/2 12:00:00,EventLog,6013,无,系统启动时间为 1891152 秒。
信息,2015/7/1 12:00:00,EventLog,6013,无,系统启动时间为 1804751 秒。
信息,2015/6/27 12:00:01,EventLog,6013,无,系统启动时间为 1459152 秒。
信息,2015/6/26 12:00:01,EventLog,6013,无,系统启动时间为 1372753 秒。
信息,2015/6/29 12:00:01,EventLog,6013,无,系统启动时间为 1631953 秒。
信息,2015/6/28 12:00:00,EventLog,6013,无,系统启动时间为 1545552 秒。
信息,2015/6/16 9:48:53,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 正在运行 状态。
信息,2015/6/15 12:00:01,EventLog,6013,无,系统启动时间为 422352 秒。
信息,2015/6/16 12:00:01,EventLog,6013,无,系统启动时间为 508752 秒。
信息,2015/6/16 10:05:23,Service Control Manager,7036,无,WinHTTP Web Proxy Auto-Discovery Service 服务处于 停止 状态。
信息,2015/6/13 12:00:00,EventLog,6013,无,系统启动时间为 249552 秒。
信息,2015/6/12 12:00:01,EventLog,6013,无,系统启动时间为 163152 秒。
信息,2015/6/14 12:00:01,EventLog,6013,无,系统启动时间为 335953 秒。
信息,2015/6/14 1:00:01,Service Control Manager,7036,无,Windows Time 服务处于 正在运行 状态。
信息,2015/6/19 14:33:57,Microsoft-Windows-FilterManager,6,无,文件系统筛选器“FileInfo”(6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功加载并注册到筛选器管理器。
信息,2015/6/19 12:00:01,EventLog,6013,无,系统启动时间为 767952 秒。
信息,2015/6/20 12:00:01,EventLog,6013,无,系统启动时间为 854352 秒。
信息,2015/6/19 14:34:16,Microsoft-Windows-FilterManager,1,无,文件系统筛选器“FileInfo”(版本 6.1，‎2009‎-‎07‎-‎14T07:34:25.000000000Z)已成功卸载。
信息,2015/6/18 12:00:01,EventLog,6013,无,系统启动时间为 681552 秒。
信息,2015/6/17 12:00:00,EventLog,6013,无,系统启动时间为 595152 秒。
